title,distributor,summary,theaters_count,week_gross,total_gross,sales_ending_week
Four Daughters,Kino Lorber,"Between light and darkness stands Olfa, a Tunisian woman and the mother of four daughters. One day, her two older daughters disappear. Filmmaker Kaouther Ben Hania invites professional actresses to fill in their absence.",7,"$4,358","$48,933",2024-01-11
Clean Slate2023 Re-release,Rialto Pictures,"A pathetic police chief, humiliated by everyone around him, suddenly wants a clean slate in life - and resorts to drastic means to do so.",6,"$3,867","$11,527",2024-01-11
Oppenheimer,Universal Pictures,"A dramatization of the life story of J. Robert Oppenheimer, the physicist who had a large hand in the development of the atomic bombs that brought an end to World War II.",27,"$3,550","$326,107,905",2024-01-11
Peeping Tom2023 Re-release,N/A,"A young man murders women, using a movie camera to film their dying expressions of terror.",2,"$2,972","$28,179",2024-01-11
Stop Making Sense2023  Re-release,-,A live performance of the band Talking Heads shot over the course of three nights at Hollywood's Pantages Theater in December of 1983 and featuring their most memorable songs.,4,"$2,889","$5,117,271",2024-01-11
The Disappearance of Shere Hite,N/A,Shere Hite's bestselling book The Hite Report liberated female orgasm by revealing the most private experiences of thousands of anonymous surveys. Her findings rocked the American establishment and conversations about gender and sexuality.,3,"$2,151","$48,623",2024-01-11
Godard Cinema,Kino Lorber,"Jean-Luc Godard is cinema, its quintessence. Having just turned 91, he has made more than 140 films. We hate him as much as we worship him. Where does his aura come from? From legendary films of course, but also from Godard himself.",3,"$1,438","$21,684",2024-01-11
Make Me Famous,Red Splat Productions,"A madcap romp through the 1980's NYC art scene amid the colorful career of painter, Edward Brezinski, hell-bent on making it. Filmed in NYC, Detroit, San Francisco, Ireland, Berlin and the Cote d'Azur.",1,"$1,412","$38,707",2024-01-11
La Syndicaliste,Kino Lorber,A thriller investigation set in the world of nuclear power and politics.,3,$832,"$27,722",2024-01-11
After Death,Angel Studios,"Based on real near-death experiences, After Death explores the afterlife with the guidance of New York Times bestselling authors, medical experts, scientists, and survivors that shed a light on what awaits us.",1,$305,"$11,478,266",2024-01-11
Fremont,Music Box Films,"Donya works for a Chinese fortune cookie factory. Formerly a translator for the U.S. military, she struggles to put her life back in order. In a moment of sudden revelation, she decides to send out a special message in a cookie.",1,$138,"$270,118",2024-01-11
Mean Girls,Paramount Pictures,"Cady Heron is a hit with the Plastics, an A-list girl clique at her new school. But everything changes when she makes the mistake of falling for Aaron Samuels, the ex-boyfriend of alpha Plastic Regina George.","3,791","$38,348,633","$38,348,633",2024-01-11
The Beekeeper,Metro-Goldwyn-Mayer (MGM),"A kind-hearted landlady commits suicide after falling victim to a phishing scam, leading former ""Beekeeper"" operative Adam Clay to set out on a brutal campaign for revenge upon those responsible.","3,303","$22,653,563","$22,653,563",2024-01-11
