title,distributor,summary,theaters_count,week_gross,total_gross,sales_ending_week
Taking Venice,Kino Lorber,"In 1964, American art insiders orchestrate an audacious plan to win the Venice Biennale's top prize with controversial artist Robert Rauschenberg, turning a prestigious art show into a Cold War cultural battleground.",1,"$9,825","$23,951",2024-01-11
The Beast,Janus Films,In the near future artificial intelligence is in control of everyone's lives and human emotions are perceived as a threat.,32,"$9,452","$391,979",2024-01-11
Le Samouraï,Janus Films,"After professional hitman Jef Costello is seen by witnesses, his efforts to provide himself an alibi drive him further into a corner.",4,"$8,854","$180,535",2024-01-11
Cabrini,Angel Studios,"After witnessing disease and poverty in the slums of New York, Italian immigrant Francesca Cabrini embarks on a daring journey to persuade the hostile mayor to provide housing and healthcare for hundreds of orphaned children.",20,"$7,430","$19,504,410",2024-01-11
The Feeling That the Time for Doing Something Has Passed,Magnolia Pictures,"A mosaic-style comedy following the life of a woman as time passes in her long-term casual BDSM relationship, low-level corporate job, and quarrelsome Jewish family.",17,"$7,359","$74,686",2024-01-11
We Grown Now,Sony Pictures Releasing,"Two young boys, best friends Malik and Eric, discover the joys and hardships of growing up in the sprawling Cabrini-Green public housing complex in 1992 Chicago.",-,"$7,301","$289,916",2024-01-11
Mars Express,GKIDS,"Set in the 23rd century on Mars, the plot follows the investigation on a murder case carried out by the couple formed by private investigator Aline Ruby and her android companion Carlos Rivera.",9,"$6,180","$193,589",2024-01-11
Late Night with the Devil,IFC Films,"A live television broadcast in 1977 goes horribly wrong, unleashing evil into the nation's living rooms.",13,"$6,045","$9,960,472",2024-01-11
Hard Miles,Blue Fox Entertainment,"A prison social worker assembles a cycling team of teenage convicts and takes them on a transformative 1,000-mile ride. Inspired by the life of Greg Townsend and the Ridgeview Academy cycling team.",9,"$5,735","$377,196",2024-01-11
Return to Reason: Four Films by Man Ray,Janus Films,"An anthology of four Man Ray short films, with original music by SQÜRL (Jim Jarmusch and Carter Logan). Includes the films L'étoile de mer (1928), Emak-Bakia (1927), Le retour à la raison (1923) and Les Mystères du Château du Dé (1929).",2,"$5,457","$9,690",2024-01-11
Force of Nature: The Dry 2,IFC Films,Five women participate in a hiking retreat but only four come out the other side. Federal agents Aaron Falk and Carmen Cooper head into the mountains hoping to find their informant still alive.,33,"$4,570","$58,690",2024-01-11
It's Only Life After All,Oscilloscope,"Known for stirring harmonies and socially conscious lyrics, iconic folk rock duo Indigo Girls are the subject of this intimate and insightful documentary, which tracks their decades-long career.",4,"$3,972","$220,766",2024-01-11
The Lavender Hill Mob,Rialto Pictures,A meek bank clerk who oversees the shipment of bullion joins with an eccentric neighbor to steal gold bars and smuggle them out of the country as miniature Eiffel Towers.,1,"$3,467","$12,566",2024-01-11
Nostalghia2024 Re-release,Kino Lorber,"A Russian poet and his interpreter travel to Italy researching the life of an 18th-century composer, and instead meet a ruminative madman who tells the poet how the world may be saved.",2,"$2,830","$224,657",2024-01-11
The Boy and the Heron,GKIDS,"In the wake of his mother's death and his father's remarriage, a headstrong boy ventures into a dreamlike world shared by the living and the dead in search of his missing stepmother.",7,"$2,679","$46,832,867",2024-01-11
Remembering Gene Wilder,Kino Lorber,A special tribute documentary honoring Gene Wilder's life and career.,9,"$2,334","$149,619",2024-01-11
Household Saints2024 Re-release,Kino Lorber,Unsettling drama about three generations of Italian-American women struggling to get by in post-World War II New York's Little Italy.,1,"$2,329","$35,697",2024-01-11
Limbo,Music Box Films,'Limbo' follows the investigation of a twenty year-old outback cold case murder by jaded detective Travis Hurley.,3,"$1,846","$43,109",2024-01-11
The Crime Is Mine,Music Box Films,"Paris, France, 1935, and a young actress has just been acquitted of murdering a famous French Producer. However, this is where the story just begins. Is she really innocent?, or has she gotten away with Murder?",1,"$1,836","$111,423",2024-01-11
Lost Soulz,Kino Lorber,"A young rapper leaves everything behind and embarks on an odyssey of self-discovery, music, and friendship in the heart of Texas.",4,"$1,458","$21,512",2024-01-11
Chicken for Linda!,GKIDS,"A loving mom, Paulette, who feels guilty after unfairly punishing her daughter Linda and would do anything to make it up to her, sets off to make a chicken with peppers, even though she doesn't know how to cook.",5,"$1,125","$21,500",2024-01-11
Boy Kills World,Roadside Attractions,"A fever dream action film that follows Boy, a deaf person with a vibrant imagination. When his family is murdered, he is trained by a mysterious shaman to repress his childish imagination and become an instrument of death.",7,$932,"$2,625,651",2024-01-11
Catching Fire: The Story of Anita Pallenberg,Magnolia Pictures,"This intimate documentary reveals the story of a fierce rock 'n' roller, actress, muse and mother who rose to prominence in the 1960s and 1970s.",2,$850,"$13,377",2024-01-11
Thabo and the Rhino Case,Purdie Distribution,"Thabo (11) wants to become a private detective. If only his home, the small African village, was not the most peaceful Savannah paradise. But things take a sudden turn when a rhino is murdered in the safari park for its horn.",2,$753,"$43,936",2024-01-11
Femme,Utopia,"Follows Jules, who is targeted in a horrific homophobic attack, destroying his life and career. Some time after that event he encounters Preston, one of his attackers, in a gay sauna. He wants revenge.",3,$726,"$186,232",2024-01-11
Inside the Yellow Cocoon Shell,Kino Lorber,"A man returns to his hometown, where he's haunted by past memories and desires.",1,$714,"$75,056",2024-01-11
Make Me Famous,Red Splat Productions,"A madcap romp through the 1980's NYC art scene amid the colorful career of painter, Edward Brezinski, hell-bent on making it. Filmed in NYC, Detroit, San Francisco, Ireland, Berlin and the Cote d'Azur.",1,$504,"$50,042",2024-01-11
Omen,Utopia,"After spending years in Belgium, a young Congolese man returns to his birthplace of Kinshasa to confront the intricacies of his family and culture.",1,$449,"$9,537",2024-01-11
Uproar,Blue Fox Entertainment,"A 17 year-old student is forced to get off the fence he has actively sat on all his life to stand up for himself, his whanau (family) and his future in this heartwarming story of identity.",2,$316,"$25,273",2024-01-11
A Cat's Life,Blue Fox Entertainment,"Follows the journey of Clémence and her kitty, Rroû, as they leave Paris to spend the holidays in the countryside. While there, Rroû enjoys the wildlife and befriends Câline, a white kitten who prowls in the woods.",1,$290,"$141,920",2024-01-11
Golden Years,Music Box Films,A retired couple is getting ready to enjoy their life as pensioners on a cruise trip through the Mediterranean. The spouses end up going on separate journeys of self-discovery and finding unexpected ways of how to spend their golden years.,1,$269,"$16,615",2024-01-11
One from the Heart: Reprise2024 Re-release,Rialto Pictures,"A couple has a fight after living together 5 years in Las Vegas. They go out and celebrate 4th of July, each with a new partner. Breakup?",1,$202,"$61,076",2024-01-11
Accidental Texan,Roadside Attractions,"Erwin finds himself stranded in Texas, where he's taken under the wing of a nearly bankrupt oil driller Merle. They set off on a wild adventure to outwit a corrupt oil company to hit pay dirt before Merle's dreams are foreclosed.",1,$171,"$292,687",2024-01-11
Furiosa: A Mad Max Saga,Warner Bros.,The origin story of renegade warrior Furiosa before her encounter and teamup with Mad Max.,"3,804","$38,917,619","$38,917,619",2024-01-11
The Garfield Movie,Sony Pictures Releasing,"After Garfield's unexpected reunion with his long-lost father, ragged alley cat Vic, he and his canine friend Odie are forced from their perfectly pampered lives to join Vic on a risky heist.","4,035","$37,572,331","$37,572,331",2024-01-11
IF,Paramount Pictures,A young girl who goes through a difficult experience begins to see everyone's imaginary friends who have been left behind as their real-life friends have grown up.,"4,068","$27,062,158","$69,628,950",2024-01-11
Kingdom of the Planet of the Apes,20th Century Studios,"Many years after the reign of Caesar, a young ape goes on a journey that will lead him to question everything he's been taught about the past and make choices that will define a future for apes and humans alike.","3,550","$21,746,807","$131,196,059",2024-01-11
The Fall Guy,Universal Pictures,"A stuntman, fresh off an almost career-ending accident, has to track down a missing movie star, solve a conspiracy and try to win back the love of his life while still doing his day job.","2,955","$9,794,020","$76,085,405",2024-01-11
The Strangers: Chapter 1,Lionsgate,"After their car breaks down in an eerie small town, a young couple is forced to spend the night in a remote cabin. Panic ensues as they are terrorized by three masked strangers who strike with no mercy and seemingly no motive.","2,856","$9,031,852","$24,765,840",2024-01-11
Sight,Angel Studios,"When a blind orphan arrives in his waiting room seeking a miracle, a world-renowned eye surgeon must confront his past--and draw on the resilience he gained growing up in China during the Cultural Revolution--to try to restore her sight.","2,100","$4,803,110","$4,803,110",2024-01-11
Challengers,Amazon MGM Studios,"Tashi, a former tennis prodigy turned coach, transformed her husband into a champion. But to overcome a recent losing streak and redeem himself, he'll need to face off against his former best friend and Tashi's ex-boyfriend.","1,089","$2,530,784","$47,625,544",2024-01-11
Back to Black,Focus Features,"The life and music of Amy Winehouse, through the journey of adolescence to adulthood and the creation of one of the best-selling albums of our time.","2,013","$1,853,990","$5,753,010",2024-01-11
Babes,Neon,"Lifelong friends Eden and Dawn, one single and wanting a baby, the other already a mother, navigate challenges to their bond when Eden pursues pregnancy alone after a one-night stand.",595,"$1,622,694","$1,850,493",2024-01-11
Tarot,Screen Gems,"When a group of friends recklessly violates the sacred rule of Tarot readings, they unknowingly unleash an unspeakable evil trapped within the cursed cards. One by one, they come face to face with fate and end up in a race against death.",864,"$1,210,703","$17,489,392",2024-01-11
I Saw the TV Glow,A24,A teenager just trying to make it through life in the suburbs is introduced by a classmate to a mysterious late-night TV show.,458,"$1,073,129","$3,217,057",2024-01-11
Godzilla x Kong: The New Empire,Warner Bros.,"Two ancient titans, Godzilla and Kong, clash in an epic battle as humans unravel their intertwined origins and connection to Skull Island's mysteries.",664,"$949,860","$195,856,493",2024-01-11
Unsung Hero,Lionsgate,A mother's faith stands against all odds and inspires her husband and children to hold onto theirs. Based on a remarkable true story.,530,"$550,668","$20,064,357",2024-01-11
Ghostbusters: Frozen Empire,Sony Pictures Releasing,"When the discovery of an ancient artifact unleashes an evil force, Ghostbusters new and old must join forces to protect their home and save the world from a second ice age.",228,"$473,386","$112,748,155",2024-01-11
Kung Fu Panda 4,Universal Pictures,"After Po is tapped to become the Spiritual Leader of the Valley of Peace, he needs to find and train a new Dragon Warrior, while a wicked sorceress plans to re-summon all the master villains whom Po has vanquished to the spirit realm.",485,"$406,990","$193,425,355",2024-01-11
The Blue Angels,Amazon MGM Studios,Follows the veterans and newest class of Navy and Marine Corps flight squadron as they go through intense training and into a season of heart-stopping aerial artistry.,450,"$396,292","$2,478,619",2024-01-11
Civil War,A24,"In a dystopian future, four journalists travel across the United States during a nation-wide conflict. While trying to survive, they aim to reach the White House to interview the president before he is overthrown.",451,"$393,383","$68,105,321",2024-01-11
Columbia 100th Anniversary SeriesColumbia 100th Anniversary Series,Sony Pictures Releasing,"Multi-title release including:
                        ",466,"$351,386","$5,312,283",2024-01-11
Evil Does Not Exist,Janus Films,"Takumi and his daughter Hana live in Mizubiki Village, close to Tokyo. One day, the village inhabitants become aware of a plan to build a camping site near Takumi's house, offering residents a comfortable escape to nature.",138,"$176,549","$587,692",2024-01-11
Escape from Germany,Susan Tuckett Media,"1939, Hitler's army was closing borders, and eighty-five American missionaries were in Germany serving their church. The escape of these missionaries from Nazi Germany is one of the most dramatic events to occur in modern church history.",49,"$166,886","$2,266,210",2024-01-11
Wildcat,Oscilloscope,Follows the life of writer Flannery O'Connor while she was struggling to publish her first novel.,104,"$129,752","$435,218",2024-01-11
The Ministry of Ungentlemanly Warfare,Lionsgate,The British military recruits a small group of highly skilled soldiers to strike against German forces behind enemy lines during World War II.,100,"$100,453","$20,535,053",2024-01-11
The Roundup: Punishment,Capelight Pictures,"Detective Ma Seok-do joins the Cyber Investigation Team to nab Baek Chang-ki, a former mercenary and the head of an online gambling organization.",18,"$93,118","$1,044,487",2024-01-11
Abigail,Universal Pictures,"After a group of criminals kidnap the ballerina daughter of a powerful underworld figure, they retreat to an isolated mansion, unaware that they're locked inside with no normal little girl.",109,"$86,525","$25,867,515",2024-01-11
Wicked Little Letters,Sony Pictures Releasing,"When people in Littlehampton--including conservative local, Edith--begin receiving letters full of hilarious profanities, the rowdy, Irish migrant, Rose, is charged with the crime. Suspecting that something is amiss, the town's women investigate.",46,"$59,034","$4,912,793",2024-01-11
Star Wars: Episode I - The Phantom Menace2024 Re-release,Walt Disney Studios Motion Pictures,"Two Jedi escape a hostile blockade to find allies and come across a young boy who may bring balance to the Force, but the long-dormant Sith resurface to claim their former glory.",70,"$44,118","$13,029,994",2024-01-11
La Chimera,Neon,"Just out of jail, crumpled English archaeologist Arthur reconnects with his wayward crew of accomplices - a happy-go-lucky collective of grave-robbers who survive by looting Etruscan tombs and fencing the ancient treasures they dig up.",15,"$38,395","$860,265",2024-01-11
The First Omen,Walt Disney Studios Motion Pictures,"A young American woman is sent to Rome to begin a life of service to the church, but encounters a darkness that causes her to question her faith and uncovers a terrifying conspiracy that hopes to bring about the birth of evil incarnate.",75,"$23,165","$20,092,802",2024-01-11
Kidnapped: The Abduction of Edgardo Mortara,Cohen Media Group,A Jewish boy is kidnapped and converted to Catholicism in 1858.,2,"$21,008","$21,008",2024-01-11
The Old Oak,Kino Lorber,"The future for the last remaining pub, The Old Oak, in a village of Northeast England, where people are leaving the land as the mines are closed. Houses are cheap and available, thus making it an ideal location for Syrian refugees.",17,"$17,607","$214,818",2024-01-11
Taking Venice,Kino Lorber,"In 1964, American art insiders orchestrate an audacious plan to win the Venice Biennale's top prize with controversial artist Robert Rauschenberg, turning a prestigious art show into a Cold War cultural battleground.",9,"$13,545","$37,496",2024-01-11
Spy x Family Code: White,Crunchyroll,"After receiving an order to be replaced in Operation Strix, Loid decides to help Anya win a cooking competition at Eden Academy, by making the director's favorite meal in order to prevent his replacement.",10,"$13,067","$8,110,042",2024-01-11
Irena's Vow,Quiver Distribution,"Through the eyes of a strong-willed woman comes the remarkable story of Irena Gut, and the triumphs of the human spirit over devastating tragedy, as she risked her life to save a generation of Jews from the atrocities of the Holocaust.",51,"$12,482","$1,188,493",2024-01-11
Hundreds of Beavers,SRH,"In this 19th century, supernatural winter epic, a drunken applejack salesman must go from zero to hero and become North America's greatest fur trapper by defeating hundreds of beavers.",10,"$10,082","$386,079",2024-01-11
Le Samouraï,Janus Films,"After professional hitman Jef Costello is seen by witnesses, his efforts to provide himself an alibi drive him further into a corner.",5,"$8,193","$188,728",2024-01-11
Aggro Dr1ft,EDGLRD,"In this sensual experimental elegy by Harmony Korine, spellbinding infrared photography evokes a dreamlike portrait of a tormented assassin.",8,"$6,091","$180,083",2024-01-11
Mars Express,GKIDS,"Set in the 23rd century on Mars, the plot follows the investigation on a murder case carried out by the couple formed by private investigator Aline Ruby and her android companion Carlos Rivera.",7,"$5,700","$199,289",2024-01-11
The Beast,Janus Films,In the near future artificial intelligence is in control of everyone's lives and human emotions are perceived as a threat.,19,"$5,549","$397,528",2024-01-11
Gasoline Rainbow,MUBI,"Follows 5 teenagers from small-town Oregon who, with high school in the rearview, decide to embark on one last adventure: to make it to a place they've never been -the Pacific coast, 500 miles away. Their plan, in full: ""F**k it.""",10,"$3,985","$29,068",2024-01-11
The Lavender Hill Mob,Rialto Pictures,A meek bank clerk who oversees the shipment of bullion joins with an eccentric neighbor to steal gold bars and smuggle them out of the country as miniature Eiffel Towers.,2,"$3,795","$16,361",2024-01-11
Return to Reason: Four Films by Man Ray,Janus Films,"An anthology of four Man Ray short films, with original music by SQÜRL (Jim Jarmusch and Carter Logan). Includes the films L'étoile de mer (1928), Emak-Bakia (1927), Le retour à la raison (1923) and Les Mystères du Château du Dé (1929).",1,"$3,651","$13,341",2024-01-11
Solo,Music Box Films,"Follows Simon, who must deal with the disappointment of two impossible loves: a passionate but destructive crush on Oliver and a distant and cold relationship with his mother Claire, who has just moved back in after a 15-year absence.",3,"$3,564","$3,564",2024-01-11
Hard Miles,Blue Fox Entertainment,"A prison social worker assembles a cycling team of teenage convicts and takes them on a transformative 1,000-mile ride. Inspired by the life of Greg Townsend and the Ridgeview Academy cycling team.",6,"$3,349","$380,545",2024-01-11
Remembering Gene Wilder,Kino Lorber,A special tribute documentary honoring Gene Wilder's life and career.,8,"$2,931","$152,550",2024-01-11
Nostalghia2024 Re-release,Kino Lorber,"A Russian poet and his interpreter travel to Italy researching the life of an 18th-century composer, and instead meet a ruminative madman who tells the poet how the world may be saved.",3,"$2,613","$227,270",2024-01-11
The Feeling That the Time for Doing Something Has Passed,Magnolia Pictures,"A mosaic-style comedy following the life of a woman as time passes in her long-term casual BDSM relationship, low-level corporate job, and quarrelsome Jewish family.",5,"$2,201","$76,887",2024-01-11
Cabrini,Angel Studios,"After witnessing disease and poverty in the slums of New York, Italian immigrant Francesca Cabrini embarks on a daring journey to persuade the hostile mayor to provide housing and healthcare for hundreds of orphaned children.",4,"$2,148","$19,506,558",2024-01-11
Thabo and the Rhino Case,Purdie Distribution,"Thabo (11) wants to become a private detective. If only his home, the small African village, was not the most peaceful Savannah paradise. But things take a sudden turn when a rhino is murdered in the safari park for its horn.",2,"$2,066","$46,002",2024-01-11
It's Only Life After All,Oscilloscope,"Known for stirring harmonies and socially conscious lyrics, iconic folk rock duo Indigo Girls are the subject of this intimate and insightful documentary, which tracks their decades-long career.",5,"$2,013","$222,779",2024-01-11
Star Wars: Episode I - The Phantom Menace2012 3D Release,Twentieth Century Fox,"Two Jedi escape a hostile blockade to find allies and come across a young boy who may bring balance to the Force, but the long-dormant Sith resurface to claim their former glory.",1,"$1,953","$43,458,335",2024-01-11
We Grown Now,Sony Pictures Releasing,"Two young boys, best friends Malik and Eric, discover the joys and hardships of growing up in the sprawling Cabrini-Green public housing complex in 1992 Chicago.",2,"$1,789","$291,705",2024-01-11
Lost Soulz,Kino Lorber,"A young rapper leaves everything behind and embarks on an odyssey of self-discovery, music, and friendship in the heart of Texas.",5,"$1,590","$23,102",2024-01-11
Uproar,Blue Fox Entertainment,"A 17 year-old student is forced to get off the fence he has actively sat on all his life to stand up for himself, his whanau (family) and his future in this heartwarming story of identity.",2,"$1,043","$26,316",2024-01-11
Ennio,Music Box Films,A documentary on the legendary film composer Ennio Morricone.,1,$940,"$78,685",2024-01-11
Limbo,Music Box Films,'Limbo' follows the investigation of a twenty year-old outback cold case murder by jaded detective Travis Hurley.,1,$788,"$43,897",2024-01-11
Catching Fire: The Story of Anita Pallenberg,Magnolia Pictures,"This intimate documentary reveals the story of a fierce rock 'n' roller, actress, muse and mother who rose to prominence in the 1960s and 1970s.",2,$712,"$14,089",2024-01-11
On the Adamant,Kino Lorber,Follows patients and caregivers at a psychiatric centre with a unique floating structure located in the middle of the Seine river in central Paris.,2,$501,"$18,332",2024-01-11
Make Me Famous,Red Splat Productions,"A madcap romp through the 1980's NYC art scene amid the colorful career of painter, Edward Brezinski, hell-bent on making it. Filmed in NYC, Detroit, San Francisco, Ireland, Berlin and the Cote d'Azur.",1,$483,"$50,525",2024-01-11
Boy Kills World,Roadside Attractions,"A fever dream action film that follows Boy, a deaf person with a vibrant imagination. When his family is murdered, he is trained by a mysterious shaman to repress his childish imagination and become an instrument of death.",4,$476,"$2,626,127",2024-01-11
Omen,Utopia,"After spending years in Belgium, a young Congolese man returns to his birthplace of Kinshasa to confront the intricacies of his family and culture.",1,$467,"$10,004",2024-01-11
Femme,Utopia,"Follows Jules, who is targeted in a horrific homophobic attack, destroying his life and career. Some time after that event he encounters Preston, one of his attackers, in a gay sauna. He wants revenge.",1,$424,"$186,367",2024-01-11
Household Saints2024 Re-release,Kino Lorber,Unsettling drama about three generations of Italian-American women struggling to get by in post-World War II New York's Little Italy.,1,$372,"$36,069",2024-01-11
Bushman2024 Re-release,Kino Lorber,"In 1968's tumult, a Nigerian student in San Francisco experiences clashing cultures and elucidates society's ineptitude at living humanely.",1,$305,"$31,380",2024-01-11
The Invisible Fight,Kino Lorber,"A guard on the Soviet-Chinese border who, after surviving a deadly attack, decides to become a monk but must continually prove along the way that he's capable of becoming the enlightened man he set out to be.",1,$213,"$14,861",2024-01-11
Golden Years,Music Box Films,A retired couple is getting ready to enjoy their life as pensioners on a cruise trip through the Mediterranean. The spouses end up going on separate journeys of self-discovery and finding unexpected ways of how to spend their golden years.,1,$193,"$16,808",2024-01-11
The Garfield Movie,Sony Pictures Releasing,"After Garfield's unexpected reunion with his long-lost father, ragged alley cat Vic, he and his canine friend Odie are forced from their perfectly pampered lives to join Vic on a risky heist.","4,108","$21,040,506","$58,612,837",2024-01-11
IF,Paramount Pictures,A young girl who goes through a difficult experience begins to see everyone's imaginary friends who have been left behind as their real-life friends have grown up.,"3,783","$15,890,838","$85,519,788",2024-01-11
Furiosa: A Mad Max Saga,Warner Bros.,The origin story of renegade warrior Furiosa before her encounter and teamup with Mad Max.,"3,864","$15,545,918","$54,463,537",2024-01-11
Kingdom of the Planet of the Apes,20th Century Studios,"Many years after the reign of Caesar, a young ape goes on a journey that will lead him to question everything he's been taught about the past and make choices that will define a future for apes and humans alike.","3,450","$13,176,714","$144,372,773",2024-01-11
The Fall Guy,Universal Pictures,"A stuntman, fresh off an almost career-ending accident, has to track down a missing movie star, solve a conspiracy and try to win back the love of his life while still doing his day job.","2,826","$6,336,160","$82,421,565",2024-01-11
The Strangers: Chapter 1,Lionsgate,"After their car breaks down in an eerie small town, a young couple is forced to spend the night in a remote cabin. Panic ensues as they are terrorized by three masked strangers who strike with no mercy and seemingly no motive.","2,527","$5,603,099","$30,368,939",2024-01-11
Haikyu!! The Dumpster Battle,Crunchyroll,"Despite a strong field, the Karasuno High volleyball team advances past the preliminary round of the Harutaka tournament in Miyagi prefecture to reach the third round.","1,119","$4,963,552","$4,963,552",2024-01-11
In a Violent Nature,IFC Films,"When a locket is removed from a collapsed fire tower in the woods that entombs the rotting corpse of Johnny, a vengeful spirit spurred on by a horrific 70-year old crime, his body is resurrected and becomes hellbent on retrieving it.","1,426","$3,001,870","$3,001,870",2024-01-11
Jesus Thirsts: The Miracle of the Eucharist,Fathom Events,"Jesus Thirsts explores the Real Presence of Christ in the Eucharist through biblical origins, expert insights, and personal testimonies, revealing the Eucharist's transformative power for those who believe.","1,112","$2,141,272","$2,141,272",2024-01-11
Ezra,Bleecker Street Media,A stand-up comedy writer navigates the complexities of living with his father while co-parenting his autistic son with his former spouse. He grapples with hurdles as he balances family responsibilities and his career.,"1,320","$1,782,030","$1,782,030",2024-01-11
Sight,Angel Studios,"When a blind orphan arrives in his waiting room seeking a miracle, a world-renowned eye surgeon must confront his past--and draw on the resilience he gained growing up in China during the Cultural Revolution--to try to restore her sight.","2,118","$1,751,669","$6,554,779",2024-01-11
Summer Camp,Roadside Attractions,"Follows Nora, Ginny, and Mary, three childhood best friends who used to spend every summer at a sleep away camp together. After years, when the opportunity to get back together for a summer camp reunion presents itself, they all seize it.","1,787","$1,745,552","$1,745,552",2024-01-11
Challengers,Amazon MGM Studios,"Tashi, a former tennis prodigy turned coach, transformed her husband into a champion. But to overcome a recent losing streak and redeem himself, he'll need to face off against his former best friend and Tashi's ex-boyfriend.",927,"$1,409,391","$49,034,935",2024-01-11
Babes,Neon,"Lifelong friends Eden and Dawn, one single and wanting a baby, the other already a mother, navigate challenges to their bond when Eden pursues pregnancy alone after a one-night stand.","1,118","$1,151,175","$3,001,668",2024-01-11
I Saw the TV Glow,A24,A teenager just trying to make it through life in the suburbs is introduced by a classmate to a mysterious late-night TV show.,292,"$720,998","$3,938,055",2024-01-11
Columbia 100th Anniversary SeriesColumbia 100th Anniversary Series,Sony Pictures Releasing,"Multi-title release including:
                        ",466,"$696,582","$6,008,865",2024-01-11
Tarot,Screen Gems,"When a group of friends recklessly violates the sacred rule of Tarot readings, they unknowingly unleash an unspeakable evil trapped within the cursed cards. One by one, they come face to face with fate and end up in a race against death.",503,"$603,361","$18,092,753",2024-01-11
The Dead Don't Hurt,Shout! Factory,Two pioneers fight for their lives and their love on the American frontier during the Civil War.,735,"$565,535","$565,535",2024-01-11
Young Woman and the Sea,Walt Disney Studios Motion Pictures,"The story of competitive swimmer Gertrude Ederle, who, in 1926, was the first woman to ever swim across the English Channel.",-,"$500,000","$500,000",2024-01-11
Godzilla x Kong: The New Empire,Warner Bros.,"Two ancient titans, Godzilla and Kong, clash in an epic battle as humans unravel their intertwined origins and connection to Skull Island's mysteries.",442,"$493,523","$196,350,016",2024-01-11
Back to Black,Focus Features,"The life and music of Amy Winehouse, through the journey of adolescence to adulthood and the creation of one of the best-selling albums of our time.",672,"$404,695","$6,157,705",2024-01-11
Ghostbusters: Frozen Empire,Sony Pictures Releasing,"When the discovery of an ancient artifact unleashes an evil force, Ghostbusters new and old must join forces to protect their home and save the world from a second ice age.",135,"$271,896","$113,020,051",2024-01-11
Civil War,A24,"In a dystopian future, four journalists travel across the United States during a nation-wide conflict. While trying to survive, they aim to reach the White House to interview the president before he is overthrown.",235,"$261,847","$68,367,168",2024-01-11
Unsung Hero,Lionsgate,A mother's faith stands against all odds and inspires her husband and children to hold onto theirs. Based on a remarkable true story.,288,"$194,395","$20,258,752",2024-01-11
Kung Fu Panda 4,Universal Pictures,"After Po is tapped to become the Spiritual Leader of the Valley of Peace, he needs to find and train a new Dragon Warrior, while a wicked sorceress plans to re-summon all the master villains whom Po has vanquished to the spirit realm.",215,"$165,265","$193,590,620",2024-01-11
Escape from Germany,Susan Tuckett Media,"1939, Hitler's army was closing borders, and eighty-five American missionaries were in Germany serving their church. The escape of these missionaries from Nazi Germany is one of the most dramatic events to occur in modern church history.",45,"$98,862","$2,365,072",2024-01-11
Evil Does Not Exist,Janus Films,"Takumi and his daughter Hana live in Mizubiki Village, close to Tokyo. One day, the village inhabitants become aware of a plan to build a camping site near Takumi's house, offering residents a comfortable escape to nature.",85,"$84,126","$671,818",2024-01-11
The Blue Angels,Amazon MGM Studios,Follows the veterans and newest class of Navy and Marine Corps flight squadron as they go through intense training and into a season of heart-stopping aerial artistry.,100,"$82,326","$2,560,945",2024-01-11
Wildcat,Oscilloscope,Follows the life of writer Flannery O'Connor while she was struggling to publish her first novel.,55,"$82,066","$517,284",2024-01-11
Deer Camp '86,Panoramic Pictures,"In the fall of 1986, six knuckleheads from Detroit travel north to partake in the annual tradition of deer hunting. But something horrific has been awakened and the hunters become the hunted.",130,"$53,550","$53,550",2024-01-11
Robot Dreams,Neon,The adventures and misfortunes of Dog and Robot in New York City during the 1980s.,2,"$46,795","$46,795",2024-01-11
The Roundup: Punishment,Capelight Pictures,"Detective Ma Seok-do joins the Cyber Investigation Team to nab Baek Chang-ki, a former mercenary and the head of an online gambling organization.",11,"$42,500","$1,086,987",2024-01-11
Wicked Little Letters,Sony Pictures Releasing,"When people in Littlehampton--including conservative local, Edith--begin receiving letters full of hilarious profanities, the rowdy, Irish migrant, Rose, is charged with the crime. Suspecting that something is amiss, the town's women investigate.",28,"$28,599","$4,941,392",2024-01-11
Aggro Dr1ft,EDGLRD,"In this sensual experimental elegy by Harmony Korine, spellbinding infrared photography evokes a dreamlike portrait of a tormented assassin.",13,"$21,268","$201,351",2024-01-11
Kajolrekha,Swapna Scarecrow,"Based on a famous Bangladeshi ballad-opera, where portraits the backstory of a lady conqueror.",25,"$20,400","$20,400",2024-01-11
La Chimera,Neon,"Just out of jail, crumpled English archaeologist Arthur reconnects with his wayward crew of accomplices - a happy-go-lucky collective of grave-robbers who survive by looting Etruscan tombs and fencing the ancient treasures they dig up.",16,"$17,612","$877,877",2024-01-11
Hundreds of Beavers,SRH,"In this 19th century, supernatural winter epic, a drunken applejack salesman must go from zero to hero and become North America's greatest fur trapper by defeating hundreds of beavers.",14,"$15,416","$401,495",2024-01-11
Flipside,Oscilloscope,A comical attempt to save a New Jersey record store and confront a mid-life crisis.,1,"$13,953","$13,953",2024-01-11
Know Your Place,Blue Harbor Entertainment,"Amidst the landscape of a transforming city, a young Eritrean-American boy confronts the realities of change and loss.",1,"$11,352","$11,352",2024-01-11
Handling the Undead,Neon,"On a hot summer day in Oslo, the dead mysteriously awaken, and three families are thrown into chaos when their deceased loved ones come back to them.",1,"$9,489","$9,489",2024-01-11
Le Samouraï,Janus Films,"After professional hitman Jef Costello is seen by witnesses, his efforts to provide himself an alibi drive him further into a corner.",3,"$8,125","$196,853",2024-01-11
